,Date_started,Casual,Member,Member_Casual_count,Temporada,Dia_semana,Dia_laboral,Feriado_WDC,Year,Month,Day,Temperatura mínima diaria,Temperatura máxima diaria,Velocidad del viento máxima constante,Precipitaciones totales diarias,Presión,Descripción
0,2020-04-01,410,1355,1765,2,3,1,0,2020,4,1,6.0,14.0,29.0,3.0,1009.9000244140624,1.0
1,2020-04-02,520,1565,2085,2,4,1,0,2020,4,2,6.0,17.0,45.0,0.0,1011.7000122070312,0.0
2,2020-04-03,679,1814,2493,2,5,1,0,2020,4,3,9.0,19.0,45.0,0.0,1009.5999755859376,0.0
3,2020-04-04,1195,1965,3160,2,6,0,0,2020,4,4,11.0,14.0,32.0,0.0,1013.2000122070312,0.0
4,2020-04-05,1929,2523,4452,2,7,0,0,2020,4,5,10.0,13.0,13.0,0.0,1018.2999877929688,0.0
5,2020-04-06,955,1915,2870,2,1,1,0,2020,4,6,14.0,17.0,13.0,0.0,1016.7999877929688,1.0
6,2020-04-07,555,1425,1980,2,2,1,0,2020,4,7,12.0,16.0,11.0,0.0,1016.4000244140624,0.0
7,2020-04-08,1196,2007,3203,2,3,1,0,2020,4,8,14.0,16.0,13.0,9.300000190734863,1005.0999755859376,0.0
8,2020-04-09,546,1361,1907,2,4,1,0,2020,4,9,13.0,26.0,50.0,3.5,998.2999877929688,2.0
9,2020-04-10,442,1161,1603,2,5,1,0,2020,4,10,9.0,12.0,45.0,0.0,1001.4000244140624,0.0
10,2020-04-11,1774,2313,4087,2,6,0,0,2020,4,11,6.0,8.0,16.0,0.0,1013.0999755859376,0.0
11,2020-04-12,1305,1949,3254,2,7,0,0,2020,4,12,8.0,13.0,9.0,0.0,1017.9000244140624,0.0
12,2020-04-13,539,1198,1737,2,1,1,0,2020,4,13,16.0,17.0,26.0,5.300000190734863,1014.2999877929688,1.0
13,2020-04-14,648,1441,2089,2,2,1,0,2020,4,14,10.0,20.0,37.0,59.09999847412109,1015.5,0.0
14,2020-04-15,668,1617,2285,2,3,1,0,2020,4,15,3.0,16.0,34.0,7.599999904632568,1017.4000244140624,1.0
15,2020-04-16,614,1467,2081,2,4,0,1,2020,4,16,3.0,13.0,34.0,4.0,1020.2999877929688,0.0
16,2020-04-17,652,1525,2177,2,5,1,0,2020,4,17,3.0,14.0,26.0,0.0,1024.0999755859375,0.0
17,2020-04-18,1014,1624,2638,2,6,0,0,2020,4,18,9.0,12.0,20.78046875,0.0,1011.0999755859376,0.0
18,2020-04-19,2244,2448,4692,2,7,0,0,2020,4,19,6.0,9.0,11.0,1.5,1016.0,0.0
19,2020-04-20,810,1515,2325,2,1,1,0,2020,4,20,12.0,18.0,22.0,0.0,1004.7999877929688,1.0
20,2020-04-21,619,1290,1909,2,2,1,0,2020,4,21,9.0,20.0,59.0,0.0,1003.4000244140624,1.0
21,2020-04-22,975,1745,2720,2,3,1,0,2020,4,22,5.0,11.0,42.0,0.5,1010.9000244140624,0.0
22,2020-04-23,370,905,1275,2,4,1,0,2020,4,23,11.0,14.0,13.0,0.0,1017.2000122070312,0.0
23,2020-04-24,562,1275,1837,2,5,1,0,2020,4,24,12.0,13.0,15.0,18.700000762939453,1008.0999755859376,1.0
24,2020-04-25,2170,2556,4726,2,6,0,0,2020,4,25,9.0,18.0,22.0,1.2000000476837158,1015.0,1.0
